"filename", "language", "JSON", "XML", "JavaScript", "YAML", "PostCSS", "Markdown", "Handlebars", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\actor-synthetic.mjs", "JavaScript", 0, 0, 474, 0, 0, 0, 0, 0, 0, 18, 31, 523
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\actor-territiory.mjs", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 7, 36
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\actor-vehicle.mjs", "JavaScript", 0, 0, 144, 0, 0, 0, 0, 0, 0, 5, 14, 163
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\base-actor.mjs", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\base-item.mjs", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 4, 48
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\effect\_module.mjs", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\effect\ability-modifier.mjs", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 17, 12, 53
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\effect\base.mjs", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 63, 32, 146
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\helpers.mjs", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 39, 10, 52
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-agenda.mjs", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-armor.mjs", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-colony-initiative.mjs", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 14, 7, 81
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-crit-inj.mjs", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-feature.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-item.mjs", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 8, 7, 96
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-planet-system.mjs", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 8, 8, 81
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-spacecraft-crit.mjs", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-spacecraftmods.mjs", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 16, 6, 69
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-spacecraftweapons.mjs", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 16, 6, 87
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-specialty.mjs", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-stunts.mjs", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-talent.mjs", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\data\item-weapon.mjs", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 16, 7, 121
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\devmsg.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 2, 39
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\documents\active-effect.mjs", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 93, 38, 219
